INFO 2024-07-17 16:26:38,665 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-17 16:26:38,665 autoreload Waiting for apps ready_event.
DEBUG 2024-07-17 16:26:44,550 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-17 16:26:44,644 autoreload Watching dir D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-07-17 16:26:44,660 autoreload Watching dir D:\Paola\Modular\ProyectoModular\PetTrace-Backend\locale with glob **/*.mo.
DEBUG 2024-07-17 16:26:44,660 autoreload Watching dir D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-07-17 16:26:44,708 autoreload Watching dir D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-07-17 16:26:44,708 autoreload Watching dir D:\Paola\Modular\ProyectoModular\PetTrace-Backend\api\locale with glob **/*.mo.
DEBUG 2024-07-17 16:26:44,708 autoreload Watching dir D:\Paola\Modular\ProyectoModular\PetTrace-Backend\crud\locale with glob **/*.mo.
DEBUG 2024-07-17 16:26:45,478 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\pandas\_libs\tslibs\nattype.cp310-win_amd64.pyd first seen with mtime 1719939259.6828308
DEBUG 2024-07-17 16:26:45,478 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\numpy\random\_bounded_integers.cp310-win_amd64.pyd first seen with mtime 1719939240.0176353
DEBUG 2024-07-17 16:26:45,478 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\compiler\mlir\quantization\tensorflow\python\save_model.py first seen with mtime 1719939288.2667725
DEBUG 2024-07-17 16:26:45,478 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\ops\ragged\ragged_config.py first seen with mtime 1719939317.6146245
DEBUG 2024-07-17 16:26:45,478 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\core\grappler\__init__.py first seen with mtime 1719939288.739616
DEBUG 2024-07-17 16:26:45,478 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\ops\image_ops.py first seen with mtime 1719939317.3296716
DEBUG 2024-07-17 16:26:45,478 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\ops\rnn_grad.py first seen with mtime 1719939317.4243689
DEBUG 2024-07-17 16:26:45,478 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\scipy\sparse\linalg\eigen.py first seen with mtime 1719862504.4906402
